txt,label,correct_label,,,,,used_intents,intents
Vc aconselho eu tentar fazer aquele exame das farmácias?,,,,,,,,
Na minha casa meu esposo teve febre tosse por uns dias,,,,,,,,
"Com muito esforço, consegue sair da cama sim.",,,,,,,,
Sintomas de gripe,,,,,,,,
Já não estava mais né sentindo tão quente,,,,,,,,
Só a diarreia e dores nas pernas.,,,,,,,,
Sentiu falta de ar hoje de manhã,,,,,,,,
Sim estive dentro de casa sim,,,,,,,,
BENEGRIPE E O EXPECTORANTE,,,,,,,,
Pode ser o que?,,,,,,,,
É como se minha respiração não completasse. Fosse só até o estômago,,,,,,,,
Nao so tou comendo comidas leves e pouco,,,,,,,,
Com mal estar,,,,,,,,
Pk,,,,,,,,
"Chás,  sopas, sucos e frutas",,,,,,,,
Bom dia Maria eu estava dormindo e direpente eu amanhece com uma tosse e a minha garganta começou arder,,,,,,,,
A dor desde o início,,,,,,,,
Está com meia hora que eu tomei comprimido,,,,,,,,
Não vejo a hora,,,,,,,,
Sinusite apenas,,,,,,,,
Estou me alimentando normal,,,,,,,,
Os outros foram durante a semana,,,,,,,,
"Estou com muita dor de garganta, dor de cabeça, e uma moleza no corpo.",,,,,,,,
Com o incômodo na garganta,,,,,,,,
"Tenho uma bebê de 1ano e 7meses que ainda mama e mais 3 crianças,de 4,6,10",,,,,,,,
"Ok, irei levar ela.",,,,,,,,
Aerolin,,,,,,,,
Qual hospital mas próxima poderia ir aqui no Maracanaú,,,,,,,,
E próximo,,,,,,,,
Durante a noite,,,,,,,,
Ele  também  está  sendo acompanhado  como  eu estou,,,,,,,,
"Aqui tem um posto, só que só funciona amanhã, a UPA é lotada, tenho medo de passar para outras pessoas",,,,,,,,
só diarreia  começou  ontem,,,,,,,,
Voltar lá,,,,,,,,
Quais os sintomas do coronavirus?,,,,,,,,
"Nesse caso, quantos dias terei que manter o isolamento ?",,,,,,,,
Estou com medo do corona aqui por conta dela,,,,,,,,
Quanto tempo minha mãe precisa ficar isolada e sem ir ao trabalho?,,,,,,,,
No momento tenho apenas paracetamol em casa,,,,,,,,
Vc acha que posso ter uma pneumonia,,,,,,,,
Então?,,,,,,,,
A propria medica discordou da chefe quando nao acatou o que vcs ja haviam orientado,,,,,,,,
Mais não senti mais não,,,,,,,,
Mais não estou direto,,,,,,,,
Só ontem que ela tava com nariz escorrendo e tossindo,,,,,,,,
Eu não sou uma pessoa em estado grave com esses sintomas?,,,,,,,,
Minha irmã ? Depois do dia 21 ficou bem,,,,,,,,
Ai acelera e sinto cansaço,,,,,,,,
Quando falo ou faço atividade,,,,,,,,
E a falta de apetite  que aparece derrepente,,,,,,,,
Já,,,,,,,,
"Prq tem dia que eu me sinto melhor, mas tem dia que parece q piorq",,,,,,,,
S,,,,,,,,
A medica passou a bombinha de Clenil e nimesulida 100mg pro vermelhidão na garganta,,,,,,,,
Eu estou tomando vitamina C e loratadina,,,,,,,,
Estou preocupado porque moro com a minha vó,,,,,,,,
Fico isolado no quarto aqui,,,,,,,,
"Continua com a tosse, dor de cabeça e dor no corpo. Existe algum remédio para amenizar?",,,,,,,,
Viu Deus te proteja,,,,,,,,
Tenho uma filha de 16 anos que tbm perdeu  o olfato  e paladar  e congestionada,,,,,,,,
"Eu tomo o Paco, que só é vendido com recrita médica. No momento, eu só tenho um comprimido.",,,,,,,,
Gostaria muito,,,,,,,,
Qse desmaio,,,,,,,,
Não vou menor. Estou usando ele,,,,,,,,
Teve vômito depois de disso,,,,,,,,
Com dor nos olhos,,,,,,,,
não estou usando descongestionante,,,,,,,,
Pode ser Dipirona,,,,,,,,
"Passei a semana verificando minha temperatura com um aparelho digital mas não tinha febre, as vezes dava 35.6 ou subia e fica só no 37.1",,,,,,,,
Vou fica em isolamento,,,,,,,,
E uma leve dor no tornozelo tb,,,,,,,,
Ok vou pela tarde,,,,,,,,
Que ela está com os sintomas 9,,,,,,,,
o jeito q me deito,,,,,,,,
A falta de ar aliviou,,,,,,,,
As minhas narinas doem um pouco e uma pequena dor de cabeça,,,,,,,,
Nos sentimos mais aliviados,,,,,,,,
Tenho que me afastar dele?,,,,,,,,
Já me sinto um pouco melhor.. Só a dor que estou na costas.. Que incomoda,,,,,,,,
Não só febril,,,,,,,,
Vamos fazer no terceiro então,,,,,,,,
N tuso mais,,,,,,,,
Tenho dúvida com a questão do isolamento,,,,,,,,
Meu PCR deu 10.9,,,,,,,,
Tenho gastrite cronica,,,,,,,,
São verdadeiros?,,,,,,,,
só isso mesmo,,,,,,,,
É consequência da tosse. Tomei aerossol,,,,,,,,
sinto,,,,,,,,
Pq eu sentia muita dor no corpo e tinha diarea e só no segundo dia fui ter torce,,,,,,,,
Não posso voltar às minhas atividades normais?,,,,,,,,
Ler livro eu não consigo le-lo até o final,,,,,,,,
garganta não inflamou só irritou,,,,,,,,
Tô de olho nela,,,,,,,,
Eu engulo tem tipo um entalo.,,,,,,,,
"E eu, minha esposa e minha filha na nossa casa",,,,,,,,
É q eu estou com dor forte no peito e foi torcindo muito e tenho pressão  altar,,,,,,,,
Estou com Corona ?,,,,,,,,
Ela tem 71 anos,,,,,,,,
"Apenas não a febre e dores no primeiro a noite, madrugada",,,,,,,,
Porque moramos com meus pais,,,,,,,,
Ele tem uma leve arritmia,,,,,,,,
Medi agora 36.8,,,,,,,,
Devo ir ao upa,,,,,,,,
Pouca coisa,,,,,,,,
Sim assistir algum filmes e jogar videogame.,,,,,,,,
"Minha garganta esta arranhando...nao tenho secreção. Mas ao menos uma vez por minuto, tenho sentido vontade de tossir",,,,,,,,
Só tiro quando eu estou no quarto,,,,,,,,
Sintomas de uma gripe,,,,,,,,
Eu tenho crises de choro isso tudo tá me fazendo muito mal,,,,,,,,
Minha esposa Esta com os mesmos sintomas ela tem historico de asma e pico de pressao,,,,,,,,
"Não consigo me alimentar direito estou sem vontade de comer,",,,,,,,,
Mais nao fico como se estivesde cansada,,,,,,,,
Acho que é do mesmo jeito não sei dizer. Mas não consigo dormir me sentindo mal .,,,,,,,,
Estou bem graças a Deus,,,,,,,,
Essa doênça,,,,,,,,
Estou com muita fraqueza,,,,,,,,
A enfermeira da farmácia falou que não tem puz apenas esta um pouco inflamada.,,,,,,,,
"Por enquanto não, hoje teve febre por volta de meio dia, mas não teve nada de novo!",,,,,,,,
"Esposa, mãe e irmão.",,,,,,,,
"Mas preciso ir no posto ou upa?? Pq passar 14 dias isolado, mas eu trabalho...",,,,,,,,
E a respiração está ótima,,,,,,,,
E aí doutora eu estou com coronavirus e vou morrer em casa,,,,,,,,
Não está mais entupido,,,,,,,,
"Não fui, hoje amanheci um pouquinho melhor,  sem febre.",,,,,,,,
Estou tomando remédio pra resfriado,,,,,,,,
"Mas a dor do estômago continua, e da tarde pra cá venho sentindo meu corpo formigando direto.",,,,,,,,
Segunda feira começou anoite febre com calafrios,,,,,,,,
Coriza constante,,,,,,,,
Mais não estou sentindo mais nada,,,,,,,,
Não. Eu sou bem resolvido quanto a isso.,,,,,,,,
"Corpo dolorido, e tosse desde terça",,,,,,,,
"sim eu tinha em casa desloratadina, pois sempre uso devido a sinusite",,,,,,,,
Talvez tenha sido mesmo os exercicios,,,,,,,,
Desde terça feira,,,,,,,,
Hj que eu comprei o termômetro. Mais deu 37.7,,,,,,,,
Associado ao nervosismo também.,,,,,,,,
E quanto ao não estar,,,,,,,,
E se eu morar com os meus familiares e eles tiver a idade acima de 40 Anos? Tem problema está na mesma residência ?,,,,,,,,
Já estou em contato com vcs alguns dias.,,,,,,,,
Mas que queria um atendimento para meu pai. Ele hoje desmaiou.,,,,,,,,
"sim, glifage, vitamina d e 1 pro colesterol",,,,,,,,
Sinto mais a noite ao deitar.,,,,,,,,
Se cuidem,,,,,,,,
Pois já faz mais de 20 dias,,,,,,,,
Dra é que eu escutei um chiado como se fosse de catarro na garganta é possível?,,,,,,,,
Mãis assim como tá com essa febre a senhora acha que ele fica emternado,,,,,,,,
Estou em Fortaleza a família foi me buscar,,,,,,,,
Até queria ir na upa mais tô é com medo devido o fluxo de gente inferctado,,,,,,,,
Além disse estou com paladar e olfato diminuídos,,,,,,,,
"Comecei a sentir os sintomas de primeiro , não precisei ir pra hospital não",,,,,,,,
Quando fico doente,,,,,,,,
Eu eu sofro tb fibromialgia,,,,,,,,
Hoje ela apresentou febre agora a tarde e a tosse,,,,,,,,
"As minhas atividades atuais não, por exemplo, eu faço as coisas em casa normalmente",,,,,,,,
Só estou tomando as medicações para pressão e diabete que tomo todos os dias.. vitamina de A a Z,,,,,,,,
E corticoide,,,,,,,,
Caso esteja contaminado o q acontece,,,,,,,,
Diarréia e febre isolada,,,,,,,,
Minha preocupação é isso,,,,,,,,
so outra pergunta  apessoa pode pega 2 esse virus,,,,,,,,
Eu tive contato com ela,,,,,,,,
Mas preciso de atestado,,,,,,,,
"Boa noite, meu pai está com dor de cabeça e diarreia. Verifiquei a temperatura (36,8° e 36,5°)",,,,,,,,
Sim conheço porém quando me ataca forte tipo ontem eu não consigo ter o alto controle,,,,,,,,
Também estou achei que era apenas crise alérgica,,,,,,,,
"Hoje senti um mal estar,  suor frio como se fosse desmaiar",,,,,,,,
Fico desesperado,,,,,,,,
Me distrai muito,,,,,,,,
Só sai sábado pra levá-la ao posto,,,,,,,,
Acredito estar melhor que ontem,,,,,,,,
To começou de ontem pra hoje,,,,,,,,
Fui ao posto de saúde e também me recomendaram o isolamento por 14 dias,,,,,,,,
"Estava com nariz muito congestionado, tosse cheira e não sinto cheiro nem sabor",,,,,,,,
Isso também me preocupa,,,,,,,,
Continuo assim,,,,,,,,
Meu esposo esta com os mesmos sintomas que eu devo me afasta dele tambem,,,,,,,,
O psicólogo não pode receitar nenhum remédio?,,,,,,,,
Meu nome é Regina Nascimento Mesquita tenho 57 anos trabalho no hgf aqui em Fortaleza e tá com mais ou menos uma semana que eu tô sentindo vem sentindo só aquela morrinho no meu corpo não tenho febre mas fico febril fico mole né Agora eu tenho problema de rinite alérgica e eu nunca sei se eu tô com Inicial com essa doença porque eu sinto assim eu espirro pouco não é muito espirro pouco né sinto assim a minha garganta ardendo um pouquinho não tenho dor de garganta né e assim eu tô sentindo muita dor na minhas costas aqui na minhas costas trabalho sentada também no hospital trabalhando sentada não sei se é isso né o,,,,,,,,
Melhorei da do dicabeca,,,,,,,,
Pra não precisar ir pra upa.,,,,,,,,
Obg..bom dia,,,,,,,,
Devo prosseguir?,,,,,,,,
Celular atrapalha em alguma coisa ?,,,,,,,,
"Como se eu tivesse dormido de mal jeito, machucado. Fica tensionada e dói quando mexo a cabeça",,,,,,,,
Mas graças a Deus que falta de ar não.,,,,,,,,
"Só essa tosse cheia, que tá forte..",,,,,,,,
"Não sei te informar, ele estava trabalhando até o momento e teve contato com algumas pessoas",,,,,,,,
Mais alguma orientação?,,,,,,,,
Ele só passou essas coisas para tomar em casa não,,,,,,,,
Só fiquei mais nervosa por pensa que fosse do covid,,,,,,,,
E tem catarro amarelo mas pouco,,,,,,,,
Tá bom muito obg,,,,,,,,
Uma dor lateijante só do lado esquerdo,,,,,,,,
Um pouco! Mais nem sempre,,,,,,,,
Isso também é sintoma de covid?,,,,,,,,
Cpf eu n tenho,,,,,,,,
não sei o que é prostração kk,,,,,,,,
É quando fico muito nervosa a pressão sobi,,,,,,,,
E caminhar,,,,,,,,
Eu estou com a garganta irritada cansaço e perda de olfato,,,,,,,,
"Não sei responder ,pq estou  sentada ou de pé e derrapante começa",,,,,,,,
"Não, pois não tenho termometro",,,,,,,,
A noite piora,,,,,,,,
Vai completar,,,,,,,,
Como não posso ir pra um hospital me consultar eu tô com medo de ter a ver com covid,,,,,,,,
Começou a três dias,,,,,,,,
Mais nao tenho muita vontade de beber agua,,,,,,,,
Hoje amanheci  sem ofato estou muito preocupada.ja tentei de vários cheiros mas não consegui sentir,,,,,,,,
Na terça feira,,,,,,,,
"Normal ,12x6",,,,,,,,
Tô do mesmo jeito,,,,,,,,
Por enquanto é so,,,,,,,,
Só gripado,,,,,,,,
muito medo de morrer,,,,,,,,
Dor no olho,,,,,,,,
"A síndrome gripal é recorrente de que? Desculpa, não compreendo mto sobre.",,,,,,,,
Sim tem alguns momentos que fica,,,,,,,,
Oi. Boa noite. Você consegue resgatar o atendimento anterior?,,,,,,,,
"Fora a UPA, qual poderia ser?",,,,,,,,
"Mas não estou com nariz escorrendo, nem febre, nem dor no corpo",,,,,,,,
Meu pai foi no médico do posto hoje  mas não conseguiu atendimento  com o mesmo médico que atendeu ele da outra vez.,,,,,,,,
"Já faz um tempo não sei a data certa, procurei pra tirar duvida, e na intenção de não  precisar procurar o servico medico publico.",,,,,,,,
Desorientação e tontura,,,,,,,,
De fraqueza,,,,,,,,
"Apesar de ter tido praticamente todos os sintomas, hj estou bem,tenho tosse e fartio ainda é um pouco de dor de cabeça, Vc acha necessário mesmo que eu ainda faça esse teste?Já estou com 17 dias",,,,,,,,
Numa consulta virtual,,,,,,,,
Satisfeita,,,,,,,,
Durante o dia ele espirrou varias vezes,,,,,,,,
Eu moro sizinho,,,,,,,,
To na duvida se devo ir ao posto de saude,,,,,,,,
Vou tentar me informar amanhã cedo,,,,,,,,
"Mas estamos prontos para levá-lo ao Hospital São Matheus caso a queixa se agrave, ja entrei até em contato com o hospital",,,,,,,,
"Até então, estava bem",,,,,,,,
As 18,,,,,,,,
medi mas acho q meu termômetro tá quebrado,,,,,,,,
Sim pode ser,,,,,,,,
Muito obg pelo atendimento,,,,,,,,
fica sim,,,,,,,,
"Estou tossindo bastante, mas não sinto falta de ar",,,,,,,,
Sou diabético e hipertenso. Há dois dias estou c uma tosse com catarro e febril,,,,,,,,
A q está doente,,,,,,,,
Pra q?,,,,,,,,
"Verifico minha pressão e vejo que está regular, mas que minha frequência cardíaca fica em geral acima dos 100bpm.",,,,,,,,
Sem vontade de comer.,,,,,,,,
"Cansaço, moleza no corpo",,,,,,,,
"Ela tá dormindo agora, eu tô achando a respiração dela um pouco rápida",,,,,,,,
"Não, estou satisfeita e agradecida.",,,,,,,,
Mais não me atendem,,,,,,,,
No 8 dia de sintomas ja que coriza me apareceu na quarta,,,,,,,,
"Ok, obg",,,,,,,,
Que bom Dr. Obrigado,,,,,,,,
Moça não estou falando de outra pessoa não é de me mesmo !,,,,,,,,
Ontem e hoje ela ficou com mais frequência,,,,,,,,
Falta de apetite. E dores pelo corpo.,,,,,,,,
Eu gosto de praia,,,,,,,,
"Oi, desculpa, vou seguir as orientações anteriores, estou com os mesmos sintomas que antes mas com falta de ar",,,,,,,,
O cômodo maior é a falta de ar,,,,,,,,
Nao. O bebe ja tem 9 meses,,,,,,,,
1 mês e 20 dias,,,,,,,,
"Boa noite! Estou tipo inquieto, sei lá pra mim a minha respiração quer parar, não q esteja, não sei se é apenas ansiedade .",,,,,,,,
Ano passado dezembro,,,,,,,,
"Estou tomando dorflex pra dores no corpo, acredito que estou meio febril",,,,,,,,
Não comecei a vitamina C ontem mas a dipirona foi desde quando comecei a sentir dor de cabeça,,,,,,,,
Tem hora q penso q és nos rins,,,,,,,,
"Sim, estou bem",,,,,,,,
E eu estou com medo de dormir e ficar sem ar,,,,,,,,
"é ótimo conversar com alguém que não seja meu namorado, ele sempre me escuta mas sempre fala o que eu quero ouvir e as vezes é bom escutar conselhos de outra pessoa.",,,,,,,,
A situação que o mundo está,,,,,,,,
E um pouco de dor no peito.,,,,,,,,
"Queria achar uma coisa que eu goste,que mim atraia",,,,,,,,
"Eu tenho saído apenas para super e vou sempre protegido, mas não sei",,,,,,,,
Tô internada,,,,,,,,
E para a pressao alta ela toma Losartana,,,,,,,,
Pq só tem um compartimento,,,,,,,,
"Em casa, sem sair, tendo todos os cuidados, estudando , cuidando do marido",,,,,,,,
So fiz inalação,,,,,,,,
Com ou sem acucar,,,,,,,,
Não Tomo nenhum remédio,,,,,,,,
Gotas,,,,,,,,
"Agora eu estou muito tonta e suando, acha que pode ser apenas uma taquicardia por conta da bombinha?",,,,,,,,
2° consegui dormir bem,,,,,,,,
Sem problema. Deve estar com muitas  pessoas.  Eu entendo,,,,,,,,
Eu acho que eu vou no hospital,,,,,,,,
Dipirona e tomando cha de gengibre limão e mel,,,,,,,,
"Dor de garganta, muita moleza no corpo, falta de apetite, náuseas, falta de paladar (só sente açúcar e sal), e aperto no peito e costas",,,,,,,,
Quais posso tomar para melhorar a dor e a obstrução nasal,,,,,,,,
Um pouco febril e dores no corpo,,,,,,,,
Mas não dei continuidade,,,,,,,,
"Fiz exercício, fico ofegante, solto o ar mas quando respiro para colocar as nos pulmões,  sinto que fico necessitando de mais ar, como se o não  fizesse efeito.",,,,,,,,
MAS A SENHORA ACHA Q TEM NECESSIDADE DIANTE DOS MEUS SINTOMAS,,,,,,,,
"Pois vou procurar este posto sim, estou preocupada, principalmente pelo meu filho.",,,,,,,,
Fui nos hospitais do meu plano saúde e os mesmos ñ estão atendendo ninguém isso pode hospital negar atendimento,,,,,,,,
Tive que respira pela boca,,,,,,,,
Só mas uma pergunta,,,,,,,,
Igualmente Dayanne,,,,,,,,
"Pentear o cabelo sim,mas quando eu como a escovar os dentes eu fico com falta de ar",,,,,,,,
Tenho um oxímetro aqui em casa q eu estou olhando durante o dia como está o oxigênio já q eu vi q esse aparelho é importante,,,,,,,,
"Mas, se vc puder falar, pelo menos vejo se estou fazendo certo",,,,,,,,
"Dor nas costas,febre e uma indisposição",,,,,,,,
Meu filho teve atendimento. Tem 26a,,,,,,,,
E tomo o que??,,,,,,,,
pq eh só morte e desesperança,,,,,,,,
Minha familia.,,,,,,,,
Tem mais 3 pessoaa na minha casa incluindo meu filho,,,,,,,,
Boa noite Naiara estou com tosse a 3 Dias e estou tomando loratadina,,,,,,,,
Pode mandar,,,,,,,,
Remédio para garganta.,,,,,,,,
Puran t4 100 mcg,,,,,,,,
Não obg Naiara,,,,,,,,
O que mais incomoda é essa pouca falta de ar e essa gastura muito grande,,,,,,,,
"E hj eu amanheci com garganta meio inflamada ,",,,,,,,,
Quando eu estou assim,,,,,,,,
Tomei só dipirona ontem mais evito não gosto de me automedicar,,,,,,,,
Tomo dipirona de novo?,,,,,,,,
"Tomo ibuprofeno, mas quando passa o efeito a febre volta",,,,,,,,
"Eu estou melhor, mais n posso consumir bebidas alcoólicas?",,,,,,,,
Eu devo tomar em quantas horas a Dipirona ?,,,,,,,,
Mas também com essa consulta Dr estou ficando menos nervoso,,,,,,,,
Mas não estou conseguindo dormir direito pois a falta de ar piora no momento em que vou dormir,,,,,,,,
Mas posso tomar dipitona e algum chá?,,,,,,,,
Fui me consultar uma vez só,,,,,,,,
"Tomo banho, vou ao banheiro,mas fico mais de repouso.",,,,,,,,
Ele disse que está só com um incômodo na garanta mas  não é dor..,,,,,,,,
Tenho tossido,,,,,,,,
"No dia 20,21 e 22 tive contato com uma pessoa q foi confirmado mas não sabia",,,,,,,,
Vcs orientam algum procedimento? Que eu deva solicitar?,,,,,,,,
Loratadina e Dipirona,,,,,,,,
"Gostaríamos de tirar dúvidas. Minha mãe alem da tosse, está com a respiração curta (não é falta de ar)",,,,,,,,
Sempre mudo,,,,,,,,
Pressão alta,,,,,,,,
Estou fazemdo isso,,,,,,,,
Minha filha começou um quadro de febre agora a noite o remédio que tenho no momento e cimegripe em capsulas ela com apenas 10 anos pode tomar,,,,,,,,
So nao sei se esta aberto,,,,,,,,
Mandaram eu tomar ele de 8h em 8h.,,,,,,,,
Vou sim.,,,,,,,,
"certo , nesse caso que seria me orientado?",,,,,,,,
E quando a “dor” vem,,,,,,,,
Mais vc acho que tevo faz ou fica em casa,,,,,,,,
Sim medi,,,,,,,,
Não obrigado.,,,,,,,,
"Não, obrigado.",,,,,,,,
"Agora, a última glicose que vi deu 208",,,,,,,,
Já A caminho do hospital,,,,,,,,
Me sente so mundo em sabe que nao pode ir no medico isso me dava mais dessepero muito obrigada  Deus abençoe  vocês,,,,,,,,
Onde devo procurar atendimento médico se precisar?,,,,,,,,
Acho melhor eu ir se piorar,,,,,,,,
Como e seu nome por favor?,,,,,,,,
Eu sou asmática e hoje acordei bem pior tossindo bastante,,,,,,,,
E tipo agente consegui inpirar pelo nariz so que com muita dificuldade como se tivesse com uma mais  bem vedada,,,,,,,,
Quando para o comprimido a febre volta,,,,,,,,
E essa secreção  no meu peito,,,,,,,,
"Estou preocupado, gostaria de fazer o teste?",,,,,,,,
não estou gripada,,,,,,,,
6/6 horas,,,,,,,,
E Tenho Sinusite e Asma,,,,,,,,
Se eu não melhorasse ligasse novamente,,,,,,,,
E a tosse que não tem fim.,,,,,,,,
Errada,,,,,,,,
Esta espirrando muito,,,,,,,,
Sem falta de ar hoje So ao fazer esforço como subir escada,,,,,,,,
Está bem fraca,,,,,,,,
Eu agradeço a atenção!,,,,,,,,
Não tem ânimo,,,,,,,,
Ontem a tarde de uma hora para outra ela começou a sentir febre esmoresseu de uma vez,,,,,,,,
Na casa dos 180,,,,,,,,
Não consigo subir escadas como antes,,,,,,,,
Igual quinta feira,,,,,,,,
N uso nenhum remedi,,,,,,,,
Quero ajuda sim.,,,,,,,,
Também acho. Vc acha que pode ser chinkunkunha?,,,,,,,,
"Qualquer coisa que envolva meus avós, tenho muito medo de perde-los. Medo de sair, trazer o vírus, infectar eles.",,,,,,,,
so outra informação eu tipo calafrios,,,,,,,,
Mais no período da noite,,,,,,,,
E boa a sensaçao,,,,,,,,
"Certo! Vamos procurar algum local para atendimento, qualquer dúvida retornaremos",,,,,,,,
Seguiremos com os cuidados.,,,,,,,,
"Ainda não, sem termômetro",,,,,,,,
3 dias atrás,,,,,,,,
Onde há algum ponto que seja certo o atendimento?,,,,,,,,
Agora ta doendo quando engulo,,,,,,,,
Não nunca,,,,,,,,
"Sim, tudo bem",,,,,,,,
"Somente com dor de cabeça, indisposição e diarreia",,,,,,,,
Vai,,,,,,,,
Pra ele me ver em video,,,,,,,,
O que tem no google diz que não existe,,,,,,,,
Me senti mal agora pela amanhã,,,,,,,,
Estou desesperado,,,,,,,,
"Somente isso,pode ser sitomas coronavirus",,,,,,,,
As vezes sim ..,,,,,,,,
Tomo um losartana 50mg pela manhã,,,,,,,,
E dor pelo corpo,,,,,,,,
"Então  amanhã vou ficar atenta....muito obrigada, boa noite!!",,,,,,,,
Vou levar no posto de novo.,,,,,,,,
Pior,,,,,,,,
Vamos começar de amanhã,,,,,,,,
"Não. Nem febre, nem falta de ar ou tosse",,,,,,,,
Fiquei febril a noite,,,,,,,,
Nesse exato momento estou tomando aerosol,,,,,,,,
No dia que eu fui eu não tava,,,,,,,,
Tenha uma ótima noite.,,,,,,,,
Não sei identificar dea,,,,,,,,
Hoje fará 5 dias,,,,,,,,
Devo me afastar deles,,,,,,,,
Dipirona pra dor de cabeça,,,,,,,,
Fadiga cansaso,,,,,,,,
Esse até fomento é para minha mãe.,,,,,,,,
Não. O está incomodando é não senti o cheiro. O que é isto. Tomei soro caseiro e melhorei da diarréia.,,,,,,,,
Como se não tivesse saido,,,,,,,,
"Não tenho como ir, pois minha bebê mama e seria arriscado levá-la comigo em uma upa",,,,,,,,
"Não,senti fome fui comer não consegui aí fiquei com ânsia de vomito",,,,,,,,
Resfrinol eu tomo também,,,,,,,,
"Há 8.ou 10 dias de febre, c dor de cabeça",,,,,,,,
"Tudo ótimo, estava pensando nisso mesmo",,,,,,,,
Mas você acha melhor a gente ir ?,,,,,,,,
Devo procurar um hospital? Como faço pra fazer o teste pra Covid?,,,,,,,,
Talvez algum vídeo!,,,,,,,,
Meu irmao morreu a 15 dias,,,,,,,,
Fiz uns exames,,,,,,,,
Mais ja tenho costume de toma a amoxilina não me faz mal só não sou muito chegado no gosto dela,,,,,,,,
Nós tínhamos,,,,,,,,
O dia deitada,,,,,,,,
Vou ligar pro SAMU então,,,,,,,,
Meu esposo está na mesma situação. Ele tem problema cardíaco,,,,,,,,
Ótimo atendimento,,,,,,,,
Fiquei com receio dele contaminar alguém,,,,,,,,
Lembre-se,,,,,,,,
Tentei comprar nimesulida mas não consegui contato com a garganta,,,,,,,,
Eu queria sabe se na próxima semana eu já posso viajar para outra cidade ?,,,,,,,,
Pra dor no corpo é indicado nimesulida?,,,,,,,,
"Ainda de quarentena dentro do quarto, sem sair",,,,,,,,
Pode passar endereço?,,,,,,,,
Tbm tenho azitromicina em casa,,,,,,,,
"Pela manhã eu tomo vitamina C, com Imunoglucan, a noite chupo uma laranja, depois tomo um chá de limão com alho a azitromicina",,,,,,,,
mas posso tomar erosol com o soro ou não é uma boa,,,,,,,,
Sim até mais,,,,,,,,
Não sei se os postos estão exclusivo pra covid,,,,,,,,
qria algo pra melhorar a falta de ar,,,,,,,,
Testei positivo,,,,,,,,
Agradeço as informações,,,,,,,,
Não por enquanto so isso mesmo,,,,,,,,
"O homem identificado acima é meu pai. Ele estava com febre de 39.1 até agora pela manhã. Demos paracetamol  e agora ela baixou para 37. Estava com muita diarréia, mas agora está melhor.",,,,,,,,
Como saberemos se realmente estão com covid ?,,,,,,,,
Passou a noite ontem e o dia hoje fez raio x,,,,,,,,
As vezes mais e porque tenho rinite a poeira,,,,,,,,
Bem só um pouco de febri,,,,,,,,
Mas.. tá muito sazonal,,,,,,,,
"Foi muito ruim, tem como ser o covid mesmo sem sentir febre?",,,,,,,,
Dipirona comprimento 500gr,,,,,,,,
Então vou onde ?,,,,,,,,
Boa tarde Renata,,,,,,,,
"hoje de manhã quando eu acordei, não tava doendo tanto, mas no decorrer do dia, vai voltando a dor intensa",,,,,,,,
Hoje ela teve diarreia,,,,,,,,
"Sim, ocorre",,,,,,,,
No caso o atendimento é para meu filho de 8 anos,,,,,,,,
Tomo da enxaqueca,,,,,,,,
Sim. Fico um pouco corpo mole,,,,,,,,
Estoy muito preocupada com essa perda de alfato,,,,,,,,
Porque a última coisa que quero é ir na emergência,,,,,,,,
Está bem...gracas a Deus,,,,,,,,
senti um pouco ontem a noite,,,,,,,,
"Não , tomei dipirona para febre",,,,,,,,
Moro com meu marido,,,,,,,,
Fica em casa,,,,,,,,
Deu certo?,,,,,,,,
"nestes ultimos dias tenho sentindo mal estar, cansaço fisico, dores no peito, dificuldade de respirar e falta de olfato e paladar",,,,,,,,
Mais tomei e não está passando,,,,,,,,
Sou esposa dele,,,,,,,,
E de  ontem pra ka minha pressão está alterada,,,,,,,,
Estou muito no escuro,,,,,,,,
Posso mandr um audio pra explicar melhor,,,,,,,,
Não! Apenas atendimento aqui pelo WhatsApp,,,,,,,,
Hoje a tontura tá pior,,,,,,,,
Eu marquei uma consulta com um clínico geral dia na segunda.,,,,,,,,
"Sem paladar é olfato, garganta querendo inflamar e nariz querendo entupir",,,,,,,,
Tô isolada em um quarto,,,,,,,,
Manteve,,,,,,,,
Já que não tem medicação específica,,,,,,,,
"Se não melhorar hoje, o que eu faço?",,,,,,,,
Posso mostrar a foto da mancha? Ela está se transformando em ferida,,,,,,,,
E queria saber também se posso usar vick,,,,,,,,
E ontem eu tomei o koide D,,,,,,,,
Enfermaria,,,,,,,,
"Febre persistente de 37,8 está tomando dipirona de 6 em 6 horas  Quando passar o efeito do remédio volta a febre E está com falta de apetite",,,,,,,,
Certo vou providenciar,,,,,,,,
Eu moro na Barra do Ceará sabe dizer se tem algum perto?,,,,,,,,
Todos esses sintomas consigo controlar com os medicamentos.,,,,,,,,
Achamos que poderia ser da diabete pq ela sempre fica um pouco,,,,,,,,
Ele estava em enrolamento na casa da mãe dele,,,,,,,,
Já  que ela tem estado a ter contacto com os netos,,,,,,,,
Só atendem quem chega de ambulância,,,,,,,,
E xarope loratadina,,,,,,,,
Ou seja seca,,,,,,,,
Sou diabético e hipertenso tenho 68 anos,,,,,,,,
6 pegaram,,,,,,,,
Mas consigo levar ar para os pulmões,,,,,,,,
"Ok, eu estou indisposto, me sinto cansada quando  estou fazendo  algo,  ñ  sinto  gosto nem cheiro",,,,,,,,
